case,n,epsilon,best_tv,max_selected_tv,exact_failure_probability
0,80,0.08,0.059756708642980085,0.4383992545510432,2.5550369702424457e-08
1,80,0.08,0.2199095506900089,0.4172769957016425,0.0
2,80,0.08,0.06595681886396973,0.5578673377270599,9.108443514917118e-08
3,80,0.08,0.17295285161228752,0.6195491001636271,9.393974000790201e-14
4,80,0.08,0.03286586668361996,0.3996650985086502,0.00041953830669908654
5,80,0.08,0.11464647230922914,0.7238435498658675,1.327964720622011e-05
6,80,0.08,0.06591031407836022,0.5663163514239897,0.0001751825039976149
7,80,0.08,0.23198575167327723,0.5974545146344291,0.0
8,80,0.08,0.042599494995516934,0.26196610777861373,0.0029489383646098726
9,80,0.08,0.3609350610221455,0.5950111459326135,0.0
10,80,0.08,0.03760439154410784,0.38541413846366,0.014035061738253054
11,80,0.08,0.2757721626695499,0.7816876496934226,0.0
